smiles,name,category
CCO,ethanol,solvent
O,water,solvent
CC(=O)C,acetone,solvent
Cc1ccccc1,toluene,solvent
c1ccccc1,benzene,solvent
Oc1ccccc1,phenol,aromatic
Nc1ccccc1,aniline,aromatic
CC(=O)Oc1ccccc1C(=O)O,aspirin,nsaid
CC(C)Cc1ccc(cc1)C(C)C(=O)O,ibuprofen,nsaid
COc1ccc2cc(ccc2c1)C(C)C(=O)O,naproxen,nsaid
CC(=O)Nc1ccc(O)cc1,acetaminophen,analgesic
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,caffeine,cns-stimulant
CN1CCCC1c1cccnc1,nicotine,cns-stimulant
NCCc1ccc(O)c(O)c1,dopamine,neurotransmitter
NCCc1c[nH]c2ccc(O)cc12,serotonin,neurotransmitter
NC(Cc1ccc(O)c(O)c1)C(=O)O,levodopa,cns-drug
CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1,diazepam,cns-drug
CN(C)CCOC(c1ccccc1)c1ccccc1,diphenhydramine,antihistamine
CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,fluoxetine,cns-drug
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,haloperidol,cns-drug
CCN(CC)CC(=O)Nc1c(C)cccc1C,lidocaine,local-anesthetic
CC(N)Cc1ccccc1,amphetamine,cns-stimulant
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,warfarin,anticoagulant
OCC1OC(O)C(O)C(O)C1O,glucose,sugar
C,methane,gas
CC(C)O,isopropanol,solvent
CCOC(=O)C,ethyl-acetate,solvent
OC(=O)c1ccccc1,benzoic-acid,aromatic
Clc1ccccc1,chlorobenzene,aromatic
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,morphine,opioid
